date,day_of_week,workingday,temp,casual,registered,total
2012-07-04,3,weekend,0.789167,2562,4841,7403
2012-07-05,4,workday,0.8275,1405,4836,6241
2012-07-06,5,workday,0.828333,1366,4841,6207
2012-07-07,6,weekend,0.861667,1448,3392,4840
2012-07-08,0,weekend,0.8225,1203,3469,4672
2012-07-09,1,workday,0.710833,998,5571,6569
2012-07-10,2,workday,0.720833,954,5336,6290
2012-07-11,3,workday,0.716667,975,6289,7264
2012-07-12,4,workday,0.715833,1032,6414,7446
2012-07-13,5,workday,0.731667,1511,5988,7499
2012-07-14,6,weekend,0.703333,2355,4614,6969
2012-07-15,0,weekend,0.745833,1920,4111,6031
2012-07-16,1,workday,0.763333,1088,5742,6830
2012-07-17,2,workday,0.818333,921,5865,6786
2012-07-18,3,workday,0.793333,799,4914,5713
2012-07-19,4,workday,0.77,888,5703,6591
2012-07-20,5,workday,0.665833,747,5123,5870
2012-07-21,6,weekend,0.595833,1264,3195,4459
2012-07-22,0,weekend,0.6675,2544,4866,7410
2012-07-23,1,workday,0.741667,1135,5831,6966
2012-07-24,2,workday,0.750833,1140,6452,7592
2012-07-25,3,workday,0.724167,1383,6790,8173
2012-07-26,4,workday,0.776667,1036,5825,6861
2012-07-27,5,workday,0.781667,1259,5645,6904
2012-07-28,6,weekend,0.755833,2234,4451,6685
2012-07-29,0,weekend,0.721667,2153,4444,6597
2012-07-30,1,workday,0.730833,1040,6065,7105
2012-07-31,2,workday,0.713333,968,6248,7216
2012-08-01,3,workday,0.7175,1074,6506,7580
2012-08-02,4,workday,0.7525,983,6278,7261
2012-08-03,5,workday,0.765833,1328,5847,7175
2012-08-04,6,weekend,0.793333,2345,4479,6824
2012-08-05,0,weekend,0.769167,1707,3757,5464
2012-08-06,1,workday,0.7525,1233,5780,7013
2012-08-07,2,workday,0.735833,1278,5995,7273
2012-08-08,3,workday,0.75,1263,6271,7534
2012-08-09,4,workday,0.755833,1196,6090,7286
2012-08-10,5,workday,0.715833,1065,4721,5786
2012-08-11,6,weekend,0.6925,2247,4052,6299
2012-08-12,0,weekend,0.700833,2182,4362,6544
2012-08-13,1,workday,0.720833,1207,5676,6883
2012-08-14,2,workday,0.726667,1128,5656,6784
2012-08-15,3,workday,0.706667,1198,6149,7347
2012-08-16,4,workday,0.719167,1338,6267,7605
2012-08-17,5,workday,0.723333,1483,5665,7148
2012-08-18,6,weekend,0.678333,2827,5038,7865
2012-08-19,0,weekend,0.635833,1208,3341,4549
2012-08-20,1,workday,0.635833,1026,5504,6530
2012-08-21,2,workday,0.649167,1081,5925,7006
2012-08-22,3,workday,0.6675,1094,6281,7375
2012-08-23,4,workday,0.695833,1363,6402,7765
2012-08-24,5,workday,0.7025,1325,6257,7582
2012-08-25,6,weekend,0.661667,1829,4224,6053
2012-08-26,0,weekend,0.653333,1483,3772,5255
2012-08-27,1,workday,0.703333,989,5928,6917
2012-08-28,2,workday,0.728333,935,6105,7040
2012-08-29,3,workday,0.685,1177,6520,7697
2012-08-30,4,workday,0.706667,1172,6541,7713
2012-08-31,5,workday,0.764167,1433,5917,7350
2012-09-01,6,weekend,0.753333,2352,3788,6140
2012-09-02,0,weekend,0.696667,2613,3197,5810
2012-09-03,1,weekend,0.7075,1965,4069,6034
2012-09-04,2,workday,0.725833,867,5997,6864
2012-09-05,3,workday,0.736667,832,6280,7112
2012-09-06,4,workday,0.696667,611,5592,6203
2012-09-07,5,workday,0.703333,1045,6459,7504
2012-09-08,6,weekend,0.659167,1557,4419,5976
2012-09-09,0,weekend,0.61,2570,5657,8227
2012-09-10,1,workday,0.583333,1118,6407,7525
2012-09-11,2,workday,0.5775,1070,6697,7767
2012-09-12,3,workday,0.599167,1050,6820,7870
2012-09-13,4,workday,0.6125,1054,6750,7804
2012-09-14,5,workday,0.633333,1379,6630,8009
2012-09-15,6,weekend,0.608333,3160,5554,8714
2012-09-16,0,weekend,0.58,2166,5167,7333
2012-09-17,1,workday,0.580833,1022,5847,6869
2012-09-18,2,workday,0.623333,371,3702,4073
2012-09-19,3,workday,0.5525,788,6803,7591
2012-09-20,4,workday,0.546667,939,6781,7720
2012-09-21,5,workday,0.599167,1250,6917,8167
2012-09-22,6,weekend,0.65,2512,5883,8395
2012-09-23,0,weekend,0.529167,2454,5453,7907
2012-09-24,1,workday,0.514167,1001,6435,7436
2012-09-25,2,workday,0.55,845,6693,7538
2012-09-26,3,workday,0.635,787,6946,7733
2012-09-27,4,workday,0.65,751,6642,7393
2012-09-28,5,workday,0.619167,1045,6370,7415
2012-09-29,6,weekend,0.5425,2589,5966,8555
2012-09-30,0,weekend,0.526667,2015,4874,6889
2012-10-01,1,workday,0.520833,763,6015,6778
2012-10-02,2,workday,0.590833,315,4324,4639
2012-10-03,3,workday,0.6575,728,6844,7572
2012-10-04,4,workday,0.6575,891,6437,7328
2012-10-05,5,workday,0.615,1516,6640,8156
2012-10-06,6,weekend,0.554167,3031,4934,7965
2012-10-07,0,weekend,0.415833,781,2729,3510
2012-10-08,1,weekend,0.383333,874,4604,5478
2012-10-09,2,workday,0.446667,601,5791,6392
2012-10-10,3,workday,0.514167,780,6911,7691
2012-10-11,4,workday,0.435,834,6736,7570
2012-10-12,5,workday,0.4375,1060,6222,7282
2012-10-13,6,weekend,0.393333,2252,4857,7109
2012-10-14,0,weekend,0.521667,2080,4559,6639
2012-10-15,1,workday,0.561667,760,5115,5875
2012-10-16,2,workday,0.468333,922,6612,7534
2012-10-17,3,workday,0.455833,979,6482,7461
2012-10-18,4,workday,0.5225,1008,6501,7509
2012-10-19,5,workday,0.563333,753,4671,5424
2012-10-20,6,weekend,0.484167,2806,5284,8090
2012-10-21,0,weekend,0.464167,2132,4692,6824
2012-10-22,1,workday,0.4875,830,6228,7058
2012-10-23,2,workday,0.544167,841,6625,7466
2012-10-24,3,workday,0.5875,795,6898,7693
2012-10-25,4,workday,0.55,875,6484,7359
2012-10-26,5,workday,0.545833,1182,6262,7444
2012-10-27,6,weekend,0.53,2643,5209,7852
2012-10-28,0,weekend,0.4775,998,3461,4459
2012-10-29,1,workday,0.44,2,20,22
2012-10-30,2,workday,0.318182,87,1009,1096
2012-10-31,3,workday,0.3575,419,5147,5566
2012-11-01,4,workday,0.365833,466,5520,5986
2012-11-02,5,workday,0.355,618,5229,5847
2012-11-03,6,weekend,0.343333,1029,4109,5138
2012-11-04,0,weekend,0.325833,1201,3906,5107
2012-11-05,1,workday,0.319167,378,4881,5259
2012-11-06,2,workday,0.280833,466,5220,5686
2012-11-07,3,workday,0.295833,326,4709,5035
2012-11-08,4,workday,0.352174,340,4975,5315
2012-11-09,5,workday,0.361667,709,5283,5992
2012-11-10,6,weekend,0.389167,2090,4446,6536
2012-11-11,0,weekend,0.420833,2290,4562,6852
2012-11-12,1,weekend,0.485,1097,5172,6269
2012-11-13,2,workday,0.343333,327,3767,4094
2012-11-14,3,workday,0.289167,373,5122,5495
2012-11-15,4,workday,0.321667,320,5125,5445
2012-11-16,5,workday,0.345,484,5214,5698
2012-11-17,6,weekend,0.325,1313,4316,5629
2012-11-18,0,weekend,0.3425,922,3747,4669
2012-11-19,1,workday,0.380833,449,5050,5499
2012-11-20,2,workday,0.374167,534,5100,5634
2012-11-21,3,workday,0.353333,615,4531,5146
2012-11-22,4,weekend,0.34,955,1470,2425
2012-11-23,5,workday,0.368333,1603,2307,3910
2012-11-24,6,weekend,0.278333,532,1745,2277
2012-11-25,0,weekend,0.245833,309,2115,2424
2012-11-26,1,workday,0.313333,337,4750,5087
2012-11-27,2,workday,0.291667,123,3836,3959
2012-11-28,3,workday,0.296667,198,5062,5260
2012-11-29,4,workday,0.28087,243,5080,5323
2012-11-30,5,workday,0.298333,362,5306,5668
2012-12-01,6,weekend,0.298333,951,4240,5191
2012-12-02,0,weekend,0.3475,892,3757,4649
2012-12-03,1,workday,0.4525,555,5679,6234
2012-12-04,2,workday,0.475833,551,6055,6606
2012-12-05,3,workday,0.438333,331,5398,5729
2012-12-06,4,workday,0.255833,340,5035,5375
2012-12-07,5,workday,0.320833,349,4659,5008
2012-12-08,6,weekend,0.381667,1153,4429,5582
2012-12-09,0,weekend,0.384167,441,2787,3228
2012-12-10,1,workday,0.435833,329,4841,5170
2012-12-11,2,workday,0.353333,282,5219,5501
2012-12-12,3,workday,0.2975,310,5009,5319
2012-12-13,4,workday,0.295833,425,5107,5532
2012-12-14,5,workday,0.281667,429,5182,5611
2012-12-15,6,weekend,0.324167,767,4280,5047
2012-12-16,0,weekend,0.3625,538,3248,3786
2012-12-17,1,workday,0.393333,212,4373,4585
2012-12-18,2,workday,0.410833,433,5124,5557
2012-12-19,3,workday,0.3325,333,4934,5267
2012-12-20,4,workday,0.33,314,3814,4128
2012-12-21,5,workday,0.326667,221,3402,3623
2012-12-22,6,weekend,0.265833,205,1544,1749
2012-12-23,0,weekend,0.245833,408,1379,1787
2012-12-24,1,workday,0.231304,174,746,920
2012-12-25,2,weekend,0.291304,440,573,1013
2012-12-26,3,workday,0.243333,9,432,441
2012-12-27,4,workday,0.254167,247,1867,2114
2012-12-28,5,workday,0.253333,644,2451,3095
2012-12-29,6,weekend,0.253333,159,1182,1341
2012-12-30,0,weekend,0.255833,364,1432,1796
2012-12-31,1,workday,0.215833,439,2290,2729
